,Año,Mes,ID Comunidad,Valor
0,2019,1,8744,24566154.547
1,2019,2,8744,21280529.205
2,2019,3,8744,21935545.636
3,2019,4,8744,20692209.649
4,2019,5,8744,21134292.129
5,2019,6,8744,21258958.649
6,2019,7,8744,24223991.17
7,2019,8,8744,22710929.179
8,2019,9,8744,21297712.005
9,2019,10,8744,21454847.17
10,2019,11,8744,21997760.931
11,2019,12,8744,22110920.732
12,2019,1,8745,24566154.547
13,2019,2,8745,21280529.205
14,2019,3,8745,21935545.636
15,2019,4,8745,20692209.649
16,2019,5,8745,21134292.129
17,2019,6,8745,21258958.649
18,2019,7,8745,24223991.17
19,2019,8,8745,22710929.179
20,2019,9,8745,21297712.005
21,2019,10,8745,21454847.17
22,2019,11,8745,21997760.931
23,2019,12,8745,22110920.732
24,2019,1,4,24566154.547
25,2019,2,4,21280529.205
26,2019,3,4,21935545.636
27,2019,4,4,20692209.649
28,2019,5,4,21134292.129
29,2019,6,4,21258958.649
30,2019,7,4,24223991.17
31,2019,8,4,22710929.179
32,2019,9,4,21297712.005
33,2019,10,4,21454847.17
34,2019,11,4,21997760.931
35,2019,12,4,22110920.732
36,2019,1,5,24566154.547
37,2019,2,5,21280529.205
38,2019,3,5,21935545.636
39,2019,4,5,20692209.649
40,2019,5,5,21134292.129
41,2019,6,5,21258958.649
42,2019,7,5,24223991.17
43,2019,8,5,22710929.179
44,2019,9,5,21297712.005
45,2019,10,5,21454847.17
46,2019,11,5,21997760.931
47,2019,12,5,22110920.732
48,2019,1,6,24566154.547
49,2019,2,6,21280529.205
50,2019,3,6,21935545.636
51,2019,4,6,20692209.649
52,2019,5,6,21134292.129
53,2019,6,6,21258958.649
54,2019,7,6,24223991.17
55,2019,8,6,22710929.179
56,2019,9,6,21297712.005
57,2019,10,6,21454847.17
58,2019,11,6,21997760.931
59,2019,12,6,22110920.732
60,2019,1,7,24566154.547
61,2019,2,7,21280529.205
62,2019,3,7,21935545.636
63,2019,4,7,20692209.649
64,2019,5,7,21134292.129
65,2019,6,7,21258958.649
