,Provincias,Ramas de actividad,Año,Total
21,2,Valor añadido bruto total,2021,7838487
22,2,Valor añadido bruto total,2020,7168120
23,2,Valor añadido bruto total,2019,7686471
24,2,Impuestos netos sobre los productos,2021,825327
25,2,Impuestos netos sobre los productos,2020,687436
26,2,Impuestos netos sobre los productos,2019,788599
48,3,Valor añadido bruto total,2021,33728417
49,3,Valor añadido bruto total,2020,31006346
50,3,Valor añadido bruto total,2019,33889570
51,3,Impuestos netos sobre los productos,2021,3551318
52,3,Impuestos netos sobre los productos,2020,2973565
53,3,Impuestos netos sobre los productos,2019,3476923
75,4,Valor añadido bruto total,2021,14167865
76,4,Valor añadido bruto total,2020,13328813
77,4,Valor añadido bruto total,2019,14342459
78,4,Impuestos netos sobre los productos,2021,1491757
79,4,Impuestos netos sobre los productos,2020,1278257
80,4,Impuestos netos sobre los productos,2019,1471474
102,1,Valor añadido bruto total,2021,11707303
103,1,Valor añadido bruto total,2020,10704838
104,1,Valor añadido bruto total,2019,11621124
105,1,Impuestos netos sobre los productos,2021,1232680
106,1,Impuestos netos sobre los productos,2020,1026613
107,1,Impuestos netos sobre los productos,2019,1192277
129,33,Valor añadido bruto total,2021,21306287
130,33,Valor añadido bruto total,2020,19453520
131,33,Valor añadido bruto total,2019,21504954
132,33,Impuestos netos sobre los productos,2021,2243372
133,33,Impuestos netos sobre los productos,2020,1865628
134,33,Impuestos netos sobre los productos,2019,2206315
156,5,Valor añadido bruto total,2021,2985737
157,5,Valor añadido bruto total,2020,2807189
158,5,Valor añadido bruto total,2019,3012341
159,5,Impuestos netos sobre los productos,2021,314373
160,5,Impuestos netos sobre los productos,2020,269215
161,5,Impuestos netos sobre los productos,2019,309053
183,6,Valor añadido bruto total,2021,11511181
184,6,Valor añadido bruto total,2020,10619796
185,6,Valor añadido bruto total,2019,11328333
186,6,Impuestos netos sobre los productos,2021,1212030
187,6,Impuestos netos sobre los productos,2020,1018458
188,6,Impuestos netos sobre los productos,2019,1162238
210,7,Valor añadido bruto total,2021,27170811
211,7,Valor añadido bruto total,2020,23905508
