,Provincias,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total
0,2,0-15 años,Españoles,Hombres,2022,26.845
1,2,0-15 años,Españoles,Hombres,2021,27.304
2,2,0-15 años,Españoles,Hombres,2020,27.979
3,2,0-15 años,Españoles,Hombres,2019,28.513
4,2,0-15 años,Españoles,Hombres,2018,28.881
5,2,0-15 años,Españoles,Hombres,2017,29.239
6,2,0-15 años,Españoles,Hombres,2016,29.624
7,2,0-15 años,Españoles,Hombres,2015,29.899
8,2,0-15 años,Españoles,Hombres,2014,30.068
9,2,0-15 años,Españoles,Hombres,2013,30.241
10,2,0-15 años,Españoles,Hombres,2012,30.588
11,2,0-15 años,Españoles,Hombres,2011,30.811
12,2,0-15 años,Españoles,Hombres,2010,30.872
13,2,0-15 años,Españoles,Hombres,2009,30.767
14,2,0-15 años,Españoles,Hombres,2008,30.732
15,2,0-15 años,Españoles,Hombres,2007,31.010
16,2,0-15 años,Españoles,Hombres,2006,31.404
17,2,0-15 años,Españoles,Hombres,2005,31.587
18,2,0-15 años,Españoles,Hombres,2004,31.831
19,2,0-15 años,Españoles,Hombres,2003,32.310
20,2,0-15 años,Españoles,Hombres,2002,32.618
21,2,0-15 años,Españoles,Hombres,2001,33.119
22,2,0-15 años,Españoles,Hombres,2000,33.741
23,2,0-15 años,Españoles,Hombres,1999,34.221
24,2,0-15 años,Españoles,Hombres,1998,34.827
25,2,0-15 años,Españoles,Mujeres,2022,25.079
26,2,0-15 años,Españoles,Mujeres,2021,25.547
27,2,0-15 años,Españoles,Mujeres,2020,25.953
28,2,0-15 años,Españoles,Mujeres,2019,26.515
29,2,0-15 años,Españoles,Mujeres,2018,27.012
30,2,0-15 años,Españoles,Mujeres,2017,27.496
31,2,0-15 años,Españoles,Mujeres,2016,27.912
32,2,0-15 años,Españoles,Mujeres,2015,28.264
33,2,0-15 años,Españoles,Mujeres,2014,28.516
34,2,0-15 años,Españoles,Mujeres,2013,28.769
35,2,0-15 años,Españoles,Mujeres,2012,28.869
36,2,0-15 años,Españoles,Mujeres,2011,28.957
37,2,0-15 años,Españoles,Mujeres,2010,29.009
38,2,0-15 años,Españoles,Mujeres,2009,28.855
39,2,0-15 años,Españoles,Mujeres,2008,28.957
40,2,0-15 años,Españoles,Mujeres,2007,29.291
41,2,0-15 años,Españoles,Mujeres,2006,29.588
42,2,0-15 años,Españoles,Mujeres,2005,29.912
43,2,0-15 años,Españoles,Mujeres,2004,30.251
44,2,0-15 años,Españoles,Mujeres,2003,30.816
45,2,0-15 años,Españoles,Mujeres,2002,30.961
46,2,0-15 años,Españoles,Mujeres,2001,31.386
47,2,0-15 años,Españoles,Mujeres,2000,31.903
48,2,0-15 años,Españoles,Mujeres,1999,32.269
49,2,0-15 años,Españoles,Mujeres,1998,32.789
50,2,0-15 años,Extranjeros,Hombres,2022,2.529
51,2,0-15 años,Extranjeros,Hombres,2021,2.452
52,2,0-15 años,Extranjeros,Hombres,2020,2.445
53,2,0-15 años,Extranjeros,Hombres,2019,2.278
54,2,0-15 años,Extranjeros,Hombres,2018,2.262
55,2,0-15 años,Extranjeros,Hombres,2017,2.181
56,2,0-15 años,Extranjeros,Hombres,2016,2.266
57,2,0-15 años,Extranjeros,Hombres,2015,2.443
58,2,0-15 años,Extranjeros,Hombres,2014,2.607
59,2,0-15 años,Extranjeros,Hombres,2013,2.879
60,2,0-15 años,Extranjeros,Hombres,2012,2.937
61,2,0-15 años,Extranjeros,Hombres,2011,2.928
62,2,0-15 años,Extranjeros,Hombres,2010,2.940
63,2,0-15 años,Extranjeros,Hombres,2009,2.849
64,2,0-15 años,Extranjeros,Hombres,2008,2.704
65,2,0-15 años,Extranjeros,Hombres,2007,2.309
66,2,0-15 años,Extranjeros,Hombres,2006,1.888
67,2,0-15 años,Extranjeros,Hombres,2005,1.551
68,2,0-15 años,Extranjeros,Hombres,2004,1.207
69,2,0-15 años,Extranjeros,Hombres,2003,930
70,2,0-15 años,Extranjeros,Hombres,2002,568
71,2,0-15 años,Extranjeros,Hombres,2001,297
72,2,0-15 años,Extranjeros,Hombres,2000,166
73,2,0-15 años,Extranjeros,Hombres,1999,114
74,2,0-15 años,Extranjeros,Hombres,1998,94
75,2,0-15 años,Extranjeros,Mujeres,2022,2.302
76,2,0-15 años,Extranjeros,Mujeres,2021,2.248
77,2,0-15 años,Extranjeros,Mujeres,2020,2.191
78,2,0-15 años,Extranjeros,Mujeres,2019,2.157
79,2,0-15 años,Extranjeros,Mujeres,2018,2.101
80,2,0-15 años,Extranjeros,Mujeres,2017,1.931
81,2,0-15 años,Extranjeros,Mujeres,2016,2.067
82,2,0-15 años,Extranjeros,Mujeres,2015,2.244
83,2,0-15 años,Extranjeros,Mujeres,2014,2.381
84,2,0-15 años,Extranjeros,Mujeres,2013,2.654
85,2,0-15 años,Extranjeros,Mujeres,2012,2.805
86,2,0-15 años,Extranjeros,Mujeres,2011,2.880
87,2,0-15 años,Extranjeros,Mujeres,2010,2.832
88,2,0-15 años,Extranjeros,Mujeres,2009,2.866
89,2,0-15 años,Extranjeros,Mujeres,2008,2.614
90,2,0-15 años,Extranjeros,Mujeres,2007,2.221
91,2,0-15 años,Extranjeros,Mujeres,2006,1.801
92,2,0-15 años,Extranjeros,Mujeres,2005,1.538
93,2,0-15 años,Extranjeros,Mujeres,2004,1.202
94,2,0-15 años,Extranjeros,Mujeres,2003,915
95,2,0-15 años,Extranjeros,Mujeres,2002,577
96,2,0-15 años,Extranjeros,Mujeres,2001,278
97,2,0-15 años,Extranjeros,Mujeres,2000,141
98,2,0-15 años,Extranjeros,Mujeres,1999,94
99,2,0-15 años,Extranjeros,Mujeres,1998,89
100,2,16-64 años,Españoles,Hombres,2022,117.741
101,2,16-64 años,Españoles,Hombres,2021,118.339
102,2,16-64 años,Españoles,Hombres,2020,118.606
103,2,16-64 años,Españoles,Hombres,2019,119.164
104,2,16-64 años,Españoles,Hombres,2018,119.784
105,2,16-64 años,Españoles,Hombres,2017,120.681
106,2,16-64 años,Españoles,Hombres,2016,120.982
107,2,16-64 años,Españoles,Hombres,2015,121.522
108,2,16-64 años,Españoles,Hombres,2014,121.822
109,2,16-64 años,Españoles,Hombres,2013,121.987
110,2,16-64 años,Españoles,Hombres,2012,122.343
111,2,16-64 años,Españoles,Hombres,2011,121.927
112,2,16-64 años,Españoles,Hombres,2010,121.725
113,2,16-64 años,Españoles,Hombres,2009,121.246
114,2,16-64 años,Españoles,Hombres,2008,120.850
115,2,16-64 años,Españoles,Hombres,2007,120.253
116,2,16-64 años,Españoles,Hombres,2006,119.325
117,2,16-64 años,Españoles,Hombres,2005,119.376
118,2,16-64 años,Españoles,Hombres,2004,118.443
119,2,16-64 años,Españoles,Hombres,2003,117.955
120,2,16-64 años,Españoles,Hombres,2002,117.580
121,2,16-64 años,Españoles,Hombres,2001,117.418
122,2,16-64 años,Españoles,Hombres,2000,116.974
123,2,16-64 años,Españoles,Hombres,1999,116.291
124,2,16-64 años,Españoles,Hombres,1998,115.436
125,2,16-64 años,Españoles,Mujeres,2022,113.511
126,2,16-64 años,Españoles,Mujeres,2021,114.163
127,2,16-64 años,Españoles,Mujeres,2020,114.793
128,2,16-64 años,Españoles,Mujeres,2019,115.270
129,2,16-64 años,Españoles,Mujeres,2018,115.879
130,2,16-64 años,Españoles,Mujeres,2017,116.665
131,2,16-64 años,Españoles,Mujeres,2016,116.823
132,2,16-64 años,Españoles,Mujeres,2015,117.311
133,2,16-64 años,Españoles,Mujeres,2014,117.477
134,2,16-64 años,Españoles,Mujeres,2013,117.363
135,2,16-64 años,Españoles,Mujeres,2012,117.674
136,2,16-64 años,Españoles,Mujeres,2011,117.439
137,2,16-64 años,Españoles,Mujeres,2010,117.130
138,2,16-64 años,Españoles,Mujeres,2009,117.071
139,2,16-64 años,Españoles,Mujeres,2008,116.360
140,2,16-64 años,Españoles,Mujeres,2007,115.955
141,2,16-64 años,Españoles,Mujeres,2006,115.290
142,2,16-64 años,Españoles,Mujeres,2005,115.542
143,2,16-64 años,Españoles,Mujeres,2004,114.742
144,2,16-64 años,Españoles,Mujeres,2003,114.447
145,2,16-64 años,Españoles,Mujeres,2002,114.240
146,2,16-64 años,Españoles,Mujeres,2001,114.396
147,2,16-64 años,Españoles,Mujeres,2000,114.263
148,2,16-64 años,Españoles,Mujeres,1999,113.649
149,2,16-64 años,Españoles,Mujeres,1998,112.984
150,2,16-64 años,Extranjeros,Hombres,2022,12.016
151,2,16-64 años,Extranjeros,Hombres,2021,11.655
152,2,16-64 años,Extranjeros,Hombres,2020,11.488
153,2,16-64 años,Extranjeros,Hombres,2019,10.695
154,2,16-64 años,Extranjeros,Hombres,2018,10.322
155,2,16-64 años,Extranjeros,Hombres,2017,10.083
156,2,16-64 años,Extranjeros,Hombres,2016,10.531
157,2,16-64 años,Extranjeros,Hombres,2015,10.918
158,2,16-64 años,Extranjeros,Hombres,2014,11.731
159,2,16-64 años,Extranjeros,Hombres,2013,13.270
160,2,16-64 años,Extranjeros,Hombres,2012,14.174
161,2,16-64 años,Extranjeros,Hombres,2011,14.222
162,2,16-64 años,Extranjeros,Hombres,2010,14.626
163,2,16-64 años,Extranjeros,Hombres,2009,15.147
164,2,16-64 años,Extranjeros,Hombres,2008,14.653
165,2,16-64 años,Extranjeros,Hombres,2007,12.392
166,2,16-64 años,Extranjeros,Hombres,2006,10.938
167,2,16-64 años,Extranjeros,Hombres,2005,10.113
168,2,16-64 años,Extranjeros,Hombres,2004,8.026
169,2,16-64 años,Extranjeros,Hombres,2003,6.888
170,2,16-64 años,Extranjeros,Hombres,2002,5.008
171,2,16-64 años,Extranjeros,Hombres,2001,2.676
172,2,16-64 años,Extranjeros,Hombres,2000,804
173,2,16-64 años,Extranjeros,Hombres,1999,485
174,2,16-64 años,Extranjeros,Hombres,1998,425
175,2,16-64 años,Extranjeros,Mujeres,2022,9.834
176,2,16-64 años,Extranjeros,Mujeres,2021,9.637
177,2,16-64 años,Extranjeros,Mujeres,2020,9.436
178,2,16-64 años,Extranjeros,Mujeres,2019,8.781
179,2,16-64 años,Extranjeros,Mujeres,2018,8.465
180,2,16-64 años,Extranjeros,Mujeres,2017,8.245
181,2,16-64 años,Extranjeros,Mujeres,2016,8.611
182,2,16-64 años,Extranjeros,Mujeres,2015,9.059
183,2,16-64 años,Extranjeros,Mujeres,2014,9.818
184,2,16-64 años,Extranjeros,Mujeres,2013,11.061
185,2,16-64 años,Extranjeros,Mujeres,2012,11.653
186,2,16-64 años,Extranjeros,Mujeres,2011,11.567
187,2,16-64 años,Extranjeros,Mujeres,2010,11.546
188,2,16-64 años,Extranjeros,Mujeres,2009,11.528
189,2,16-64 años,Extranjeros,Mujeres,2008,10.769
190,2,16-64 años,Extranjeros,Mujeres,2007,9.099
191,2,16-64 años,Extranjeros,Mujeres,2006,7.921
192,2,16-64 años,Extranjeros,Mujeres,2005,7.108
193,2,16-64 años,Extranjeros,Mujeres,2004,5.431
194,2,16-64 años,Extranjeros,Mujeres,2003,4.434
195,2,16-64 años,Extranjeros,Mujeres,2002,3.215
196,2,16-64 años,Extranjeros,Mujeres,2001,1.756
197,2,16-64 años,Extranjeros,Mujeres,2000,674
198,2,16-64 años,Extranjeros,Mujeres,1999,514
199,2,16-64 años,Extranjeros,Mujeres,1998,454
200,2,65 y más,Españoles,Hombres,2022,33.447
201,2,65 y más,Españoles,Hombres,2021,33.108
202,2,65 y más,Españoles,Hombres,2020,33.242
203,2,65 y más,Españoles,Hombres,2019,32.971
204,2,65 y más,Españoles,Hombres,2018,32.651
205,2,65 y más,Españoles,Hombres,2017,32.337
206,2,65 y más,Españoles,Hombres,2016,32.211
207,2,65 y más,Españoles,Hombres,2015,31.995
208,2,65 y más,Españoles,Hombres,2014,31.774
209,2,65 y más,Españoles,Hombres,2013,31.413
210,2,65 y más,Españoles,Hombres,2012,31.366
211,2,65 y más,Españoles,Hombres,2011,31.299
212,2,65 y más,Españoles,Hombres,2010,31.038
213,2,65 y más,Españoles,Hombres,2009,30.979
214,2,65 y más,Españoles,Hombres,2008,30.717
215,2,65 y más,Españoles,Hombres,2007,30.674
216,2,65 y más,Españoles,Hombres,2006,30.683
217,2,65 y más,Españoles,Hombres,2005,29.890
218,2,65 y más,Españoles,Hombres,2004,30.152
219,2,65 y más,Españoles,Hombres,2003,29.992
220,2,65 y más,Españoles,Hombres,2002,29.635
221,2,65 y más,Españoles,Hombres,2001,29.286
222,2,65 y más,Españoles,Hombres,2000,28.594
223,2,65 y más,Españoles,Hombres,1999,28.075
224,2,65 y más,Españoles,Hombres,1998,27.255
225,2,65 y más,Españoles,Mujeres,2022,41.546
226,2,65 y más,Españoles,Mujeres,2021,41.204
227,2,65 y más,Españoles,Mujeres,2020,41.373
228,2,65 y más,Españoles,Mujeres,2019,41.148
229,2,65 y más,Españoles,Mujeres,2018,40.818
230,2,65 y más,Españoles,Mujeres,2017,40.648
231,2,65 y más,Españoles,Mujeres,2016,40.581
232,2,65 y más,Españoles,Mujeres,2015,40.418
233,2,65 y más,Españoles,Mujeres,2014,40.278
234,2,65 y más,Españoles,Mujeres,2013,39.851
235,2,65 y más,Españoles,Mujeres,2012,39.895
236,2,65 y más,Españoles,Mujeres,2011,39.802
237,2,65 y más,Españoles,Mujeres,2010,39.503
238,2,65 y más,Españoles,Mujeres,2009,39.162
239,2,65 y más,Españoles,Mujeres,2008,38.749
240,2,65 y más,Españoles,Mujeres,2007,38.579
241,2,65 y más,Españoles,Mujeres,2006,38.557
242,2,65 y más,Españoles,Mujeres,2005,37.781
243,2,65 y más,Españoles,Mujeres,2004,37.964
244,2,65 y más,Españoles,Mujeres,2003,37.718
245,2,65 y más,Españoles,Mujeres,2002,37.266
246,2,65 y más,Españoles,Mujeres,2001,36.594
247,2,65 y más,Españoles,Mujeres,2000,35.933
248,2,65 y más,Españoles,Mujeres,1999,35.255
249,2,65 y más,Españoles,Mujeres,1998,34.192
250,2,65 y más,Extranjeros,Hombres,2022,385
251,2,65 y más,Extranjeros,Hombres,2021,347
252,2,65 y más,Extranjeros,Hombres,2020,321
253,2,65 y más,Extranjeros,Hombres,2019,290
254,2,65 y más,Extranjeros,Hombres,2018,258
255,2,65 y más,Extranjeros,Hombres,2017,222
256,2,65 y más,Extranjeros,Hombres,2016,227
257,2,65 y más,Extranjeros,Hombres,2015,237
258,2,65 y más,Extranjeros,Hombres,2014,228
259,2,65 y más,Extranjeros,Hombres,2013,226
260,2,65 y más,Extranjeros,Hombres,2012,232
261,2,65 y más,Extranjeros,Hombres,2011,213
262,2,65 y más,Extranjeros,Hombres,2010,195
263,2,65 y más,Extranjeros,Hombres,2009,174
264,2,65 y más,Extranjeros,Hombres,2008,164
265,2,65 y más,Extranjeros,Hombres,2007,134
266,2,65 y más,Extranjeros,Hombres,2006,110
267,2,65 y más,Extranjeros,Hombres,2005,107
268,2,65 y más,Extranjeros,Hombres,2004,84
269,2,65 y más,Extranjeros,Hombres,2003,64
270,2,65 y más,Extranjeros,Hombres,2002,49
271,2,65 y más,Extranjeros,Hombres,2001,31
272,2,65 y más,Extranjeros,Hombres,2000,32
273,2,65 y más,Extranjeros,Hombres,1999,23
274,2,65 y más,Extranjeros,Hombres,1998,22
275,2,65 y más,Extranjeros,Mujeres,2022,492
276,2,65 y más,Extranjeros,Mujeres,2021,460
277,2,65 y más,Extranjeros,Mujeres,2020,443
278,2,65 y más,Extranjeros,Mujeres,2019,385
279,2,65 y más,Extranjeros,Mujeres,2018,353
280,2,65 y más,Extranjeros,Mujeres,2017,304
281,2,65 y más,Extranjeros,Mujeres,2016,283
282,2,65 y más,Extranjeros,Mujeres,2015,270
283,2,65 y más,Extranjeros,Mujeres,2014,287
284,2,65 y más,Extranjeros,Mujeres,2013,293
285,2,65 y más,Extranjeros,Mujeres,2012,301
286,2,65 y más,Extranjeros,Mujeres,2011,273
287,2,65 y más,Extranjeros,Mujeres,2010,266
288,2,65 y más,Extranjeros,Mujeres,2009,247
289,2,65 y más,Extranjeros,Mujeres,2008,224
290,2,65 y más,Extranjeros,Mujeres,2007,193
291,2,65 y más,Extranjeros,Mujeres,2006,153
292,2,65 y más,Extranjeros,Mujeres,2005,135
293,2,65 y más,Extranjeros,Mujeres,2004,115
294,2,65 y más,Extranjeros,Mujeres,2003,87
295,2,65 y más,Extranjeros,Mujeres,2002,70
296,2,65 y más,Extranjeros,Mujeres,2001,46
297,2,65 y más,Extranjeros,Mujeres,2000,37
298,2,65 y más,Extranjeros,Mujeres,1999,31
299,2,65 y más,Extranjeros,Mujeres,1998,31
300,3,0-15 años,Españoles,Hombres,2022,119.707
301,3,0-15 años,Españoles,Hombres,2021,121.579
302,3,0-15 años,Españoles,Hombres,2020,123.879
303,3,0-15 años,Españoles,Hombres,2019,125.807
304,3,0-15 años,Españoles,Hombres,2018,127.281
305,3,0-15 años,Españoles,Hombres,2017,128.209
306,3,0-15 años,Españoles,Hombres,2016,128.433
307,3,0-15 años,Españoles,Hombres,2015,128.114
308,3,0-15 años,Españoles,Hombres,2014,127.875
309,3,0-15 años,Españoles,Hombres,2013,127.723
310,3,0-15 años,Españoles,Hombres,2012,127.491
