,id_provincia,provincia,id_ccaa
0,2,Albacete,7
1,3,Alicante/Alacant,15
2,4,Almería,4
3,1,Araba/Álava,10
4,33,Asturias,11
5,5,Ávila,8
6,6,Badajoz,16
7,7,"Balears, Illes",8743
8,8,Barcelona,9
9,48,Bizkaia,10
10,9,Burgos,8
11,10,Cáceres,16
12,11,Cádiz,4
13,39,Cantabria,6
14,12,Castellón/Castelló,15
15,13,Ciudad Real,7
16,14,Córdoba,4
17,15,"Coruña, A",17
18,16,Cuenca,7
19,20,Gipuzkoa,10
20,17,Girona,9
21,18,Granada,4
22,19,Guadalajara,7
23,21,Huelva,4
24,22,Huesca,5
25,23,Jaén,4
26,24,León,8
27,25,Lleida,9
28,27,Lugo,17
29,28,Madrid,13
30,29,Málaga,4
31,30,Murcia,21
32,31,Navarra,14
33,32,Ourense,17
34,34,Palencia,8
35,35,"Palmas, Las",8742
36,36,Pontevedra,17
37,26,"Rioja, La",20
38,37,Salamanca,8
39,38,Santa Cruz de Tenerife,8742
40,40,Segovia,8
41,41,Sevilla,4
42,42,Soria,8
43,43,Tarragona,9
44,44,Teruel,5
45,45,Toledo,7
46,46,Valencia/València,15
47,47,Valladolid,8
48,49,Zamora,8
49,50,Zaragoza,5
50,51,Ceuta,8744
51,52,Melilla,8745
